Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2000 12:00:00 AM,Central,F,20 to 29,23475,315,1.34
01/01/2000 12:00:00 AM,Central,F,30 to 39,29410,1349,4.59
01/01/2000 12:00:00 AM,Central,F,40 to 49,29328,3182,10.85
01/01/2000 12:00:00 AM,Central,F,50 to 59,21582,5863,27.17
01/01/2000 12:00:00 AM,Central,F,60 to 69,13577,6260,46.11
01/01/2000 12:00:00 AM,Central,F,70 to 79,11175,6835,61.16
01/01/2000 12:00:00 AM,Central,F,80 +,7973,5270,66.1
01/01/2000 12:00:00 AM,Central,M,20 to 29,22118,243,1.1
01/01/2000 12:00:00 AM,Central,M,30 to 39,26849,1153,4.29
01/01/2000 12:00:00 AM,Central,M,40 to 49,27221,2919,10.72
01/01/2000 12:00:00 AM,Central,M,50 to 59,20608,5075,24.63
01/01/2000 12:00:00 AM,Central,M,60 to 69,12718,5282,41.53
01/01/2000 12:00:00 AM,Central,M,70 to 79,8289,4527,54.61
01/01/2000 12:00:00 AM,Central,M,80 +,3798,2166,57.03
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,8569,159,1.86
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,11131,712,6.4
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,13870,2035,14.67
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,11414,3664,32.1
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,7950,3822,48.08
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,6336,3963,62.55
01/01/2000 12:00:00 AM,Eastern,F,80 +,5273,3377,64.04
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,8517,136,1.6
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,10854,606,5.58
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,13629,1841,13.51
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,11828,3218,27.21
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,7718,3231,41.86
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,5072,2757,54.36
01/01/2000 12:00:00 AM,Eastern,M,80 +,2706,1451,53.62
01/01/2000 12:00:00 AM,Northern,F,20 to 29,8460,158,1.87
01/01/2000 12:00:00 AM,Northern,F,30 to 39,10816,634,5.86
01/01/2000 12:00:00 AM,Northern,F,40 to 49,12084,1666,13.79
01/01/2000 12:00:00 AM,Northern,F,50 to 59,9758,3039,31.14
01/01/2000 12:00:00 AM,Northern,F,60 to 69,6507,3145,48.33
01/01/2000 12:00:00 AM,Northern,F,70 to 79,5545,3489,62.92
01/01/2000 12:00:00 AM,Northern,F,80 +,4436,2924,65.92
01/01/2000 12:00:00 AM,Northern,M,20 to 29,8313,129,1.55
01/01/2000 12:00:00 AM,Northern,M,30 to 39,10497,574,5.47
01/01/2000 12:00:00 AM,Northern,M,40 to 49,11934,1511,12.66
01/01/2000 12:00:00 AM,Northern,M,50 to 59,10018,2681,26.76
01/01/2000 12:00:00 AM,Northern,M,60 to 69,6371,2675,41.99
01/01/2000 12:00:00 AM,Northern,M,70 to 79,4332,2315,53.44
01/01/2000 12:00:00 AM,Northern,M,80 +,2220,1269,57.16
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,12660,119,0.94
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,10151,294,2.9
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,7285,666,9.14
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,4797,1160,24.18
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,2886,1152,39.92
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,2244,1300,57.93
01/01/2000 12:00:00 AM,Unknown,F,80 +,1639,975,59.49
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,12458,125,1
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,9211,332,3.6
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,6814,616,9.04
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,4584,996,21.73
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,2738,946,34.55
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,1606,717,44.65
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,396,49.19
01/01/2000 12:00:00 AM,Western,F,20 to 29,10324,206,2
01/01/2000 12:00:00 AM,Western,F,30 to 39,14307,734,5.13
01/01/2000 12:00:00 AM,Western,F,40 to 49,16498,1931,11.7
01/01/2000 12:00:00 AM,Western,F,50 to 59,13854,3957,28.56
01/01/2000 12:00:00 AM,Western,F,60 to 69,9392,4231,45.05
01/01/2000 12:00:00 AM,Western,F,70 to 79,7542,4465,59.2
01/01/2000 12:00:00 AM,Western,F,80 +,6034,3639,60.31
01/01/2000 12:00:00 AM,Western,M,20 to 29,10216,113,1.11
01/01/2000 12:00:00 AM,Western,M,30 to 39,13831,639,4.62
01/01/2000 12:00:00 AM,Western,M,40 to 49,15993,1787,11.17
01/01/2000 12:00:00 AM,Western,M,50 to 59,13771,3263,23.69
01/01/2000 12:00:00 AM,Western,M,60 to 69,9321,3472,37.25
01/01/2000 12:00:00 AM,Western,M,70 to 79,6367,3083,48.42
01/01/2000 12:00:00 AM,Western,M,80 +,3440,1652,48.02
01/01/2001 12:00:00 AM,Central,F,20 to 29,23533,326,1.39
01/01/2001 12:00:00 AM,Central,F,30 to 39,29177,1463,5.01
01/01/2001 12:00:00 AM,Central,F,40 to 49,30288,3492,11.53
01/01/2001 12:00:00 AM,Central,F,50 to 59,22571,6346,28.12
01/01/2001 12:00:00 AM,Central,F,60 to 69,13941,6738,48.33
01/01/2001 12:00:00 AM,Central,F,70 to 79,11226,7162,63.8
01/01/2001 12:00:00 AM,Central,F,80 +,8302,5722,68.92
01/01/2001 12:00:00 AM,Central,M,20 to 29,22276,272,1.22
01/01/2001 12:00:00 AM,Central,M,30 to 39,26681,1198,4.49
01/01/2001 12:00:00 AM,Central,M,40 to 49,28299,3250,11.48
01/01/2001 12:00:00 AM,Central,M,50 to 59,21391,5494,25.68
01/01/2001 12:00:00 AM,Central,M,60 to 69,13065,5673,43.42
01/01/2001 12:00:00 AM,Central,M,70 to 79,8454,4844,57.3
01/01/2001 12:00:00 AM,Central,M,80 +,4085,2434,59.58
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,8406,168,2
01/01/2001 12:00:00 AM,Eastern,F,30 to 39,10821,732,6.76
01/01/2001 12:00:00 AM,Eastern,F,40 to 49,13904,2197,15.8
01/01/2001 12:00:00 AM,Eastern,F,50 to 59,11806,3946,33.42
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,8076,4096,50.72
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,6309,4099,64.97
01/01/2001 12:00:00 AM,Eastern,F,80 +,5382,3636,67.56
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,8334,137,1.64
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,10551,606,5.74
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,13608,1976,14.52
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,12161,3482,28.63
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,7872,3496,44.41
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,5139,2929,57
01/01/2001 12:00:00 AM,Eastern,M,80 +,2734,1589,58.12
01/01/2001 12:00:00 AM,Northern,F,20 to 29,8286,161,1.94
01/01/2001 12:00:00 AM,Northern,F,30 to 39,10577,658,6.22
01/01/2001 12:00:00 AM,Northern,F,40 to 49,12314,1840,14.94
01/01/2001 12:00:00 AM,Northern,F,50 to 59,10070,3276,32.53
01/01/2001 12:00:00 AM,Northern,F,60 to 69,6655,3356,50.43
01/01/2001 12:00:00 AM,Northern,F,70 to 79,5511,3585,65.05
01/01/2001 12:00:00 AM,Northern,F,80 +,4554,3168,69.57
